,S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
0,0,Maruti Wagon R,Mumbai,2010,72000,CNG,Manual,First,26,998,58,5,2
1,1,Hyundai Creta 1.6,Pune,2015,41000,Diesel,Manual,First,19,1582,126,5,12
2,2,Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,18,1199,88,5,4
3,3,Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,20,1248,88,7,6
4,4,Audi A4 New,Coimbatore,2013,40670,Diesel,Automatic,Second,15,1968,140,5,18
5,5,Hyundai EON LPG,Hyderabad,2012,75000,LPG,Manual,First,21,814,55,5,2
6,6,Nissan Micra Diesel,Jaipur,2013,86999,Diesel,Manual,First,23,1461,63,5,4
7,7,Toyota Innova Crysta,Mumbai,2016,36000,Diesel,Automatic,First,11,2755,171,8,18
8,8,Volkswagen Vento Diesel,Pune,2013,64430,Diesel,Manual,First,20,1598,103,5,5
9,9,Tata Indica Vista,Chennai,2012,65932,Diesel,Manual,Second,22,1248,74,5,2
10,10,Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21,1462,103,5,10
11,11,Honda City 1.5,Kolkata,2012,60000,Petrol,Automatic,First,16,1497,116,5,4
12,12,Maruti Swift VDI,Jaipur,2015,64424,Diesel,Manual,First,25,1248,74,5,6
13,13,Land Rover Range,Delhi,2014,72000,Diesel,Automatic,First,12,2179,187,5,27
14,14,Land Rover Freelander,Pune,2012,85000,Diesel,Automatic,Second,0,2179,115,5,18
15,15,Mitsubishi Pajero Sport,Delhi,2014,110000,Diesel,Manual,First,13,2477,175,7,15
16,16,Honda Amaze S,Kochi,2016,58950,Diesel,Manual,First,25,1498,98,5,5
17,17,Maruti Swift DDiS,Jaipur,2017,25000,Diesel,Manual,First,28,1248,74,5,6
18,18,Renault Duster 85PS,Kochi,2014,77469,Diesel,Manual,First,20,1461,83,5,6
19,19,Mercedes-Benz New C-Class,Bangalore,2014,78500,Diesel,Automatic,First,14,2143,167,5,28
20,20,BMW 3 Series,Kochi,2014,32982,Diesel,Automatic,First,22,1995,190,5,19
21,21,Maruti S Cross,Bangalore,2015,55392,Diesel,Manual,Second,23,1248,88,5,8
22,22,Audi A6 2011-2015,Mumbai,2015,55985,Petrol,Automatic,First,13,1984,177,5,24
23,23,Hyundai i20 1.2,Kolkata,2010,45807,Petrol,Manual,First,18,1197,80,5,2
24,24,Volkswagen Vento Petrol,Kolkata,2010,33000,Petrol,Automatic,First,14,1598,103,5,3
